dateTimeAus,tideCategory,tideCategoryHeight
2023-03-21 21:31:00,High,1.73
2023-03-22 00:27:00,Falling,
2023-03-22 03:23:00,Low,0.38
2023-03-22 06:33:00,Rising,
2023-03-22 09:43:00,High,1.92
2023-03-22 12:51:30,Falling,
2023-03-22 16:00:00,Low,0.27
2023-03-22 19:07:00,Rising,
2023-03-22 22:14:00,High,1.8
2023-03-23 01:14:30,Falling,
2023-03-23 04:15:00,Low,0.38
2023-03-23 07:22:00,Rising,
2023-03-23 10:29:00,High,1.82
2023-03-23 13:33:30,Falling,
2023-03-23 16:38:00,Low,0.34
2023-03-23 19:47:00,Rising,
2023-03-23 22:56:00,High,1.83
2023-03-24 02:00:30,Falling,
2023-03-24 05:05:00,Low,0.41
2023-03-24 08:09:30,Rising,
2023-03-24 11:14:00,High,1.68
2023-03-24 14:14:00,Falling,
2023-03-24 17:14:00,Low,0.44
2023-03-24 20:25:30,Rising,
2023-03-24 23:37:00,High,1.82
2023-03-25 02:46:30,Falling,
2023-03-25 05:56:00,Low,0.48
2023-03-25 08:57:30,Rising,
2023-03-25 11:59:00,High,1.53
2023-03-25 14:53:30,Falling,
2023-03-25 17:48:00,Low,0.55
2023-03-25 21:02:30,Rising,
2023-03-26 00:17:00,High,1.78
2023-03-26 03:32:30,Falling,
2023-03-26 06:48:00,Low,0.56
2023-03-26 09:46:30,Rising,
2023-03-26 12:45:00,High,1.38
2023-03-26 15:33:30,Falling,
2023-03-26 18:22:00,Low,0.67
2023-03-26 21:40:30,Rising,
2023-03-27 00:59:00,High,1.72
2023-03-27 04:21:00,Falling,
2023-03-27 07:43:00,Low,0.64
2023-03-27 10:38:00,Rising,
2023-03-27 13:33:00,High,1.26
2023-03-27 16:16:00,Falling,
2023-03-27 18:59:00,Low,0.78
2023-03-27 22:21:30,Rising,
2023-03-28 01:44:00,High,1.64
2023-03-28 05:14:00,Falling,
2023-03-28 08:44:00,Low,0.7
2023-03-28 11:38:30,Rising,
2023-03-28 14:33:00,High,1.18
2023-03-28 17:09:30,Falling,
2023-03-28 19:46:00,Low,0.86
2023-03-28 23:11:30,Rising,
2023-03-29 02:37:00,High,1.57
2023-03-29 06:14:30,Falling,
2023-03-29 09:52:00,Low,0.74
2023-03-29 12:53:00,Rising,
2023-03-29 15:54:00,High,1.15
2023-03-29 18:25:30,Falling,
2023-03-29 20:57:00,Low,0.92
2023-03-30 00:21:00,Rising,
2023-03-30 03:45:00,High,1.52
2023-03-30 07:23:30,Falling,
2023-03-30 11:02:00,Low,0.73
2023-03-30 14:11:00,Rising,
2023-03-30 17:20:00,High,1.19
2023-03-30 19:51:00,Falling,
2023-03-30 22:22:00,Low,0.92
2023-03-31 01:40:00,Rising,
2023-03-31 04:58:00,High,1.52
2023-03-31 08:30:00,Falling,
2023-03-31 12:02:00,Low,0.69
2023-03-31 15:11:00,Rising,
2023-03-31 18:20:00,High,1.26
2023-03-31 20:58:30,Falling,
2023-03-31 23:37:00,Low,0.87
2023-04-01 02:48:30,Rising,
2023-04-01 06:00:00,High,1.56
2023-04-01 09:25:00,Falling,
2023-04-01 12:50:00,Low,0.64
2023-04-01 15:57:00,Rising,
2023-04-01 19:04:00,High,1.35
2023-04-01 21:49:00,Falling,
2023-04-02 00:34:00,Low,0.8
2023-04-02 03:12:00,Rising,
2023-04-02 05:50:00,High,1.61
2023-04-02 09:09:30,Falling,
2023-04-02 12:29:00,Low,0.58
2023-04-02 15:35:00,Rising,
2023-04-02 18:41:00,High,1.43
2023-04-02 21:30:00,Falling,
2023-04-03 00:19:00,Low,0.72
2023-04-03 03:25:30,Rising,
2023-04-03 06:32:00,High,1.66
2023-04-03 09:47:00,Falling,
2023-04-03 13:02:00,Low,0.53
2023-04-03 16:08:00,Rising,
2023-04-03 19:14:00,High,1.51
2023-04-03 22:07:00,Falling,
2023-04-04 01:00:00,Low,0.64
2023-04-04 04:05:00,Rising,
2023-04-04 07:10:00,High,1.7
2023-04-04 10:20:30,Falling,
2023-04-04 13:31:00,Low,0.49
2023-04-04 16:38:00,Rising,
2023-04-04 19:45:00,High,1.59
2023-04-04 22:40:30,Falling,
2023-04-05 01:36:00,Low,0.58
2023-04-05 04:40:30,Rising,
2023-04-05 07:45:00,High,1.71
2023-04-05 10:52:30,Falling,
2023-04-05 14:00:00,Low,0.47
2023-04-05 17:07:30,Rising,
2023-04-05 20:15:00,High,1.66
2023-04-05 23:14:30,Falling,
2023-04-06 02:14:00,Low,0.54
2023-04-06 05:18:00,Rising,
2023-04-06 08:22:00,High,1.69
2023-04-06 11:25:30,Falling,
2023-04-06 14:29:00,Low,0.46
2023-04-06 17:38:00,Rising,
2023-04-06 20:47:00,High,1.74
